Gene	Function	GeneID	Base Mean	log2(FC)	StdeErr	Wald-Stats	P-Value	P-adj
gene-BTH_RS35150	product=hypothetical protein	gene-BTH_RS35150	388.4993599	-3.480466435	0.214555939	-16.22172035	3.54134915800515e-59	1.95836608437685e-57	
gene-BTH_RS18795	go_function=nitric oxide dioxygenase activity|0008941||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,FAD binding|0071949||IEA	gene-BTH_RS18795	4786.118203	3.488393935	0.373089569	9.350017332	8.76333647168911e-21	8.33741947328013e-20	
gene-BTH_RS31535	product=coproporphyrinogen III oxidase	gene-BTH_RS31535	24.47166584	-3.632930159	0.536443653	-6.772249309	1.26795392857417e-11	6.19142183224295e-11	
gene-BTH_RS33970	locus_tag=BTH_RS33970	gene-BTH_RS33970	4844.138638	4.910295799	0.296325533	16.57061325	1.13660698989185e-61	6.88814975791991e-60	
gene-BTH_RS24640	product=lasso peptide biosynthesis B2 protein	gene-BTH_RS24640	1865.898751	4.199289696	0.18025001	23.29702886	4.7516083557587e-120	1.23653619799273e-117	
gene-BTH_RS25870	product=spore coat U domain-containing protein	gene-BTH_RS25870	10935.14571	3.662197174	0.107976915	33.91648267	3.80754691573285e-252	5.61486251840072e-249	
gene-BTH_RS28815	product=hypothetical protein	gene-BTH_RS28815	260.8652824	-3.613731401	0.208986621	-17.29168776	5.43377551417646e-67	4.07441065673164e-65	
gene-BTH_RS00805	inference=COORDINATES: similar to AA sequence:RefSeq:WP_009894803.1	gene-BTH_RS00805	136.7064884	-3.821695149	0.2878861	-13.27502489	3.23163706498812e-40	7.56442453730553e-39	
gene-BTH_RS35560	product=hypothetical protein	gene-BTH_RS35560	13.57598888	-4.176172068	0.715800924	-5.834264707	5.40282903898146e-09	2.08206582477822e-08	
gene-BTH_RS05960	product=Zn-dependent hydrolase	gene-BTH_RS05960	1125.297651	4.051306369	0.138571042	29.23631306	6.70348408508195e-188	4.23660194177179e-185	
gene-BTH_RS35575	product=hypothetical protein	gene-BTH_RS35575	91.57013257	-3.579199198	0.320881736	-11.15426275	6.82562480285261e-29	9.8040792622792e-28	
gene-BTH_RS33340	locus_tag=BTH_RS33340	gene-BTH_RS33340	49.72607394	-3.69204859	0.405215204	-9.111327901	8.13797214771793e-20	7.28793295172148e-19	
gene-BTH_RS07990	product=zinc-dependent alcohol dehydrogenase family protein	gene-BTH_RS07990	1536.690485	3.569304726	0.189671716	18.81832889	5.34437340831415e-79	5.91087698959545e-77	
gene-BTH_RS30280	product=non-ribosomal peptide synthetase	gene-BTH_RS30280	1141.716347	3.905325134	0.144182347	27.08601436	1.438996062146e-161	5.78738052630354e-159	
gene-BTH_RS30285	go_function=[acyl-carrier-protein] S-malonyltransferase activity|0004314||IEA	gene-BTH_RS30285	3006.487876	3.859326242	0.123006903	31.37487542	4.45561155796268e-216	4.92790638310672e-213	
gene-BTH_RS08570	inference=COORDINATES: similar to AA sequence:RefSeq:WP_009900716.1	gene-BTH_RS08570	1903.353437	3.944125392	0.148134615	26.62527866	3.46074730965476e-156	1.27586217482606e-153	
gene-BTH_RS08575	product=acyl carrier protein	gene-BTH_RS08575	846.9018529	3.719066018	0.204987301	18.14290937	1.46088893792828e-73	1.34645263779057e-71	
gene-BTH_RS08725	product=hypothetical protein	gene-BTH_RS08725	91.60968153	-3.872300743	0.327754827	-11.81462611	3.28004847430474e-32	5.55974500012421e-31	
gene-BTH_RS09380	product=hypothetical protein	gene-BTH_RS09380	63.77367942	-3.481291967	0.348464597	-9.990374923	1.67945311709017e-23	1.82468046788153e-22	
gene-BTH_RS11435	go_process=tryptophan catabolic process to kynurenine|0019441||IEA	gene-BTH_RS11435	196.097217	-3.588107478	0.224365515	-15.99224139	1.44728653363615e-57	7.19415238742282e-56	
